model,split,rmse,mae,r,y_true_std,y_pred_std,pred_std_ratio,y_pred_min,y_pred_max,pred_vs_true_slope,residual_vs_true_slope
Mean baseline,train,1.9253774351893833,1.3118204990819227,,1.9253774351893833,0.0,0.0,-0.7917495019217945,-0.7917495019217945,1.5035224430431235e-16,-0.9999999999999972
Mean baseline,val,1.6791875773044225,1.3281177980028998,,1.507921178056865,2.220446049250313e-16,1.472521297241558e-16,-0.7917495019217945,-0.7917495019217945,-7.441212749055302e-17,-1.0
Mean baseline,test,1.7830934842769484,1.2783392798278541,,1.734202878672964,2.220446049250313e-16,1.280384248323604e-16,-0.7917495019217945,-0.7917495019217945,-1.6151268157262638e-16,-1.0000000000000016
