version,seed,best_epoch,params,train_rmse,val_rmse,test_rmse,test_mae,test_r,test_y_true_std,test_y_pred_std,test_pred_std_ratio,test_pred_vs_true_slope,test_residual_vs_true_slope,test_y_pred_min,test_y_pred_max
V1 local_delta available-graph GNN,42,8,14833,1.7716314721480204,1.484060117879333,1.614398736065268,1.144911144977906,0.41007035940957953,1.734202878672964,0.5355774455079775,0.3088320588637292,0.12664287337545,-0.8733571266245511,-2.277564245142611,1.1027800703501207
V1 local_delta available-graph GNN,43,15,14833,1.717308493817211,1.3960027051125967,1.6390710660825685,1.102099881965815,0.3276709125104897,1.734202878672964,0.5665862496310772,0.3267127834919965,0.10705427589566457,-0.8929457241043369,-2.5284412428202003,1.5653820532264509
V1 local_delta available-graph GNN,44,15,14833,1.698285447909251,1.3718966652521989,1.5921648219597784,1.0907569565731858,0.39665772096911617,1.734202878672964,0.714553598484793,0.41203575848725343,0.16343716491933527,-0.836562835080666,-3.2721965861721314,1.343785059534758
V2 local_delta + condition feats available-graph GNN,42,5,17905,1.7658037917960856,1.4273782751951636,1.56579000755525,1.0694621908188706,0.4390069769614638,1.734202878672964,0.630223392092118,0.36340811092089387,0.15953869617865804,-0.840461303821343,-2.279007484997617,0.7665121845813887
V2 local_delta + condition feats available-graph GNN,43,6,17905,1.7146247378658024,1.4124196884776796,1.526446135957198,1.0475137183412606,0.47787710216260093,1.734202878672964,0.7318847714606932,0.42202949865977707,0.2016782338466698,-0.7983217661533315,-2.9762564438232895,0.9373324058456898
V2 local_delta + condition feats available-graph GNN,44,4,17905,1.7685426331225849,1.409618343153957,1.5717673127764709,1.067862644649297,0.43550686292884366,1.734202878672964,0.5934548708228902,0.3422061386941129,0.14903312193766605,-0.8509668780623351,-2.235597364091593,0.749648105903483
V3 local + global + condition feats available-graph GNN,42,4,20209,1.7618471139379013,1.3940146775624698,1.5905582103060352,1.0946758957253253,0.4008763330192974,1.734202878672964,0.619579579956047,0.35727052905722184,0.1432212995843235,-0.8567787004156775,-2.092182748232414,0.7653378307776133
V3 local + global + condition feats available-graph GNN,43,3,20209,1.8256982340547636,1.411300875261065,1.6162083065812085,1.1017670943883435,0.3645545868861922,1.734202878672964,0.5675516752470716,0.3272694805358471,0.11930759027720457,-0.8806924097227972,-1.4357436456312507,1.1371456127373178
V3 local + global + condition feats available-graph GNN,44,3,20209,1.8036200214817588,1.400921557750232,1.6202924192288894,1.1150607051753572,0.369562072142857,1.734202878672964,0.5495533049750905,0.3168910118495572,0.11711089898256913,-0.882889101017432,-1.6001476696107586,0.7996450743538732
