epoch,train_loss_scaled_mse,train_rmse,train_r,val_rmse,val_r,version,seed
1,1.000951345389088,1.9083587391122872,0.19584474211067418,1.6967822558481649,0.24222213467319056,V1 local_delta available-graph GNN,42
2,0.9825685260196527,1.8845793130607535,0.2607879618070943,1.647994333541208,0.3253381059433271,V1 local_delta available-graph GNN,42
3,0.9605868011713028,1.8611518229390887,0.28468686461821735,1.585183002137954,0.3718554029764627,V1 local_delta available-graph GNN,42
4,0.9288938790559769,1.839867738061927,0.31236707946464254,1.5430421013985443,0.37524861688594546,V1 local_delta available-graph GNN,42
5,0.9137144172564149,1.8246653832931112,0.3293008804820985,1.506448714783814,0.39015774553154414,V1 local_delta available-graph GNN,42
6,0.909328181296587,1.8071894504493955,0.3521266706707242,1.4901540274889074,0.40203977817138264,V1 local_delta available-graph GNN,42
7,0.887284609178702,1.7985778026344128,0.36074243684245916,1.4931205306528925,0.39198124020297015,V1 local_delta available-graph GNN,42
8,0.8836507884164652,1.7716314721288902,0.39804351024976653,1.484060117879333,0.40051308519464734,V1 local_delta available-graph GNN,42
9,0.8621843451013168,1.741500299766139,0.43276865640971046,1.514645782342335,0.3931388538641571,V1 local_delta available-graph GNN,42
10,0.8455250641951958,1.7082165307060828,0.46846514433890507,1.4843703053739385,0.3587377007352413,V1 local_delta available-graph GNN,42
11,0.810617589391768,1.7018616109994837,0.4784009610197519,1.4968555132698396,0.38358674220413014,V1 local_delta available-graph GNN,42
12,0.8089390670259794,1.649494570447596,0.5224826263817995,1.5141709372300671,0.35226140818392954,V1 local_delta available-graph GNN,42
13,0.7802275735884905,1.6506345648553797,0.5292690419664511,1.590079580498815,0.2280307278261789,V1 local_delta available-graph GNN,42
14,0.7781826915840308,1.6264537566735617,0.5377697896433938,1.5868657763781753,0.2616423691704481,V1 local_delta available-graph GNN,42
15,0.7450594489152232,1.5924565663419121,0.5912816110650367,1.5768682246545052,0.27374980452603526,V1 local_delta available-graph GNN,42
16,0.7072687881688277,1.5572243060272786,0.6008812698853564,1.5825148028024179,0.29061762569029786,V1 local_delta available-graph GNN,42
1,1.0605691177770495,1.8971870201583332,0.24683882507706784,1.6969843006424785,0.3630034657807063,V1 local_delta available-graph GNN,43
2,0.9795345868915319,1.867820393238459,0.2830968927788278,1.6241224759142252,0.4062216804936835,V1 local_delta available-graph GNN,43
3,0.9340373749534289,1.8503503186484804,0.3077887004120278,1.5717729607325976,0.44108905069397925,V1 local_delta available-graph GNN,43
4,0.9406295511871576,1.840613186965581,0.3166585205099902,1.564383298517853,0.42081243835302445,V1 local_delta available-graph GNN,43
5,0.9196754128982624,1.8299578831145753,0.32511793154609386,1.5200341693141146,0.4370076153679723,V1 local_delta available-graph GNN,43
6,0.9068112460275491,1.822873930889453,0.3351669176275931,1.5162299404458475,0.4351820887413981,V1 local_delta available-graph GNN,43
7,0.9064009028176466,1.8161844001463963,0.34266188999089203,1.4989063418920543,0.44565853283453,V1 local_delta available-graph GNN,43
8,0.8949287496507168,1.8120771636731943,0.34728945697384006,1.506127712292828,0.43885126333742325,V1 local_delta available-graph GNN,43
9,0.8970446411209801,1.807148726551557,0.3557958163082391,1.5025355090730121,0.4353918555709393,V1 local_delta available-graph GNN,43
10,1.1224756340185802,1.7963016193773844,0.3672866802658651,1.4787284918502328,0.43879434580873394,V1 local_delta available-graph GNN,43
11,0.8765152134001255,1.7895846876504933,0.3800122132894475,1.478956326841865,0.44103770129254305,V1 local_delta available-graph GNN,43
12,0.8800498920803269,1.7760332483990746,0.39465852184390016,1.4595848556709103,0.4493030701739403,V1 local_delta available-graph GNN,43
13,0.8597574913874269,1.7606187873851058,0.40878104330581355,1.4504024344713493,0.43571764858789547,V1 local_delta available-graph GNN,43
14,0.8396827972804507,1.7528809813964985,0.43058761291118886,1.421654576873044,0.4763279635712604,V1 local_delta available-graph GNN,43
15,0.8498916296909252,1.717308493791258,0.4593832672421253,1.3960027051125967,0.45141328333293074,V1 local_delta available-graph GNN,43
16,0.8242055376370748,1.7152342069308044,0.4618142345077662,1.4850319930222284,0.40954094626432314,V1 local_delta available-graph GNN,43
17,0.7861789977177978,1.672570386419548,0.5038301890854398,1.4840443510169177,0.376063732823185,V1 local_delta available-graph GNN,43
18,0.7946390186746916,1.6714443807490815,0.5060768798537499,1.512596295463375,0.36217012922849207,V1 local_delta available-graph GNN,43
19,0.7924098906417688,1.6198467365336309,0.5448103646615989,1.5296331042995266,0.345038249911897,V1 local_delta available-graph GNN,43
20,0.7348609051356713,1.578254749300883,0.5747711076273848,1.6157596314394183,0.26493676298991403,V1 local_delta available-graph GNN,43
21,0.7210947507992387,1.6004251128030593,0.5577418175820775,1.5462138932707326,0.33378986543823025,V1 local_delta available-graph GNN,43
22,0.7147514751801888,1.5191294212903135,0.6171340795595087,1.5603089292335255,0.2873636039716504,V1 local_delta available-graph GNN,43
23,0.6641817626853784,1.4775632095950852,0.6504344465683449,1.6014873495897863,0.21537325951416142,V1 local_delta available-graph GNN,43
1,0.9892531546453635,1.8835464529061574,0.2765577238137524,1.5911609002515024,0.38419538766181377,V1 local_delta available-graph GNN,44
2,0.9689006637781858,1.8639278893218134,0.290772210971242,1.5445952135928886,0.40052067600119723,V1 local_delta available-graph GNN,44
3,0.9407163190965852,1.8427952293410534,0.3099402185757054,1.5116539772174358,0.41912598439358995,V1 local_delta available-graph GNN,44
4,0.9360227628300587,1.8310777389167423,0.3179760377364693,1.4969173787407402,0.42407247508692425,V1 local_delta available-graph GNN,44
5,0.9642446947594484,1.8241638274999554,0.33039115460862517,1.4798273767346775,0.43688383608683845,V1 local_delta available-graph GNN,44
6,0.9095187224447727,1.813088766794427,0.3406959421093759,1.4611000035022865,0.44661674882946845,V1 local_delta available-graph GNN,44
7,0.9294947975625595,1.812595981062184,0.3437465680831942,1.4713065822601428,0.4507398880722089,V1 local_delta available-graph GNN,44
8,0.8934762744853894,1.8047721382935407,0.3577398306579576,1.461025957226156,0.4465913153139742,V1 local_delta available-graph GNN,44
