split,y_true_std,y_pred_min,y_pred_max
train,1.9253774351893833,-23.209999084472656,12.699999809265137
val,1.507921178056865,-5.380000114440918,6.929999828338623
test,1.734202878672964,-8.399999618530273,6.800000190734863
