max_depth,learning_rate,n_estimators,val_r,val_rmse,best_iteration
3,0.05,300,0.4027637754462421,1.638186212637829,61
4,0.05,300,0.42580377525026425,1.6174085945925183,35
6,0.05,300,0.42589758111691484,1.6167162942372628,29
4,0.01,300,0.4183677497493976,1.6224925471916614,206
4,0.1,300,0.4146485988553138,1.6312577761476301,27
